b5,count_all
-90.0,242745
-85.0,699261
-80.0,1200406
-75.0,1698923
-70.0,2320200
-65.0,2945392
-60.0,3732813
-55.0,4749902
-50.0,6740198
-45.0,11141261
-40.0,14503055
-35.0,31808543
-30.0,23152769
-25.0,32680108
-20.0,57336721
-15.0,120229460
-10.0,305811680
-5.0,393460612
0.0,312280347
5.0,232684779
10.0,100873343
15.0,48699830
20.0,29409751
25.0,19410224
30.0,13588276
35.0,9843070
40.0,7494110
45.0,5838476
50.0,4565045
55.0,3635353
60.0,2875857
65.0,2243868
70.0,1682504
75.0,1225673
80.0,679237
85.0,225979
